,year,level,type,teacher_value,pupil_value,subcounty
600,2021,Primary,Private,10,278,Galiraya
601,2019,Secondary,Government,34,102,Kitimbwa
602,2020,Secondary,Private,43,456,Kayunga Town Council
603,2018,Primary,Private,40,203,Galiraya
604,2019,Secondary,Private,21,95,Bbaale
605,2022,Primary,Private,20,85,Kitimbwa
606,2020,Secondary,Private,50,70,Galiraya
607,2022,Primary,Private,18,180,Bbaale
608,2021,Primary,Government,8,95,Kayonza
609,2018,Primary,Private,19,35,Kayunga
610,2018,Secondary,Government,18,178,Galiraya
611,2018,Secondary,Government,19,85,Kayunga Town Council
612,2022,Primary,Government,21,55,Galiraya
613,2020,Primary,Private,18,70,Busaana
614,2019,Primary,Private,10,400,Galiraya
615,2020,Primary,Government,33,400,Kitimbwa
616,2021,Primary,Private,40,60,Kayunga
617,2020,Secondary,Private,36,500,Kayunga Town Council
618,2020,Primary,Government,9,213,Kayonza
619,2019,Secondary,Government,55,456,Kitimbwa
620,2020,Secondary,Private,12,180,Busaana
621,2019,Primary,Private,36,40,Kitimbwa
622,2020,Secondary,Government,50,178,Bbaale
623,2020,Secondary,Government,8,102,Busaana
624,2022,Secondary,Government,34,70,Kitimbwa
625,2020,Secondary,Private,9,80,Kayunga
626,2021,Secondary,Government,10,378,Kayunga
627,2019,Secondary,Government,33,55,Kayunga Town Council
628,2020,Primary,Government,50,195,Bbaale
629,2022,Secondary,Government,18,110,Busaana
630,2020,Secondary,Government,10,110,Galiraya
631,2022,Primary,Private,41,55,Busaana
632,2021,Secondary,Government,10,378,Galiraya
633,2022,Primary,Government,41,197,Kayunga
634,2018,Primary,Government,15,90,Kayunga
635,2020,Primary,Private,30,110,Galiraya
636,2022,Secondary,Private,13,400,Kitimbwa
637,2021,Secondary,Government,55,102,Kitimbwa
638,2022,Primary,Government,15,50,Galiraya
639,2021,Secondary,Private,55,95,Kayonza
640,2021,Primary,Private,2,400,Kitimbwa
641,2021,Primary,Private,9,10,Kitimbwa
642,2020,Primary,Private,34,120,Kayunga
643,2019,Secondary,Government,10,45,Galiraya
644,2018,Secondary,Government,19,80,Galiraya
645,2018,Secondary,Government,2,75,Bbaale
646,2022,Secondary,Government,9,378,Kayunga Town Council
647,2022,Primary,Private,12,180,Kitimbwa
648,2018,Secondary,Government,55,195,Kayunga Town Council
649,2020,Primary,Private,19,120,Busaana
650,2019,Primary,Government,15,178,Kayonza
651,2019,Secondary,Government,5,85,Busaana
652,2022,Primary,Private,19,250,Kitimbwa
653,2018,Secondary,Private,5,95,Galiraya
654,2019,Primary,Private,15,100,Bbaale
655,2021,Primary,Government,33,120,Busaana
656,2020,Secondary,Government,10,203,Kayunga
657,2022,Secondary,Private,41,194,Kayonza
658,2019,Secondary,Government,19,35,Kitimbwa
659,2022,Primary,Government,33,250,Bbaale
660,2022,Primary,Government,19,35,Kayunga Town Council
661,2021,Secondary,Government,30,378,Kayunga
662,2022,Primary,Government,9,300,Busaana
663,2021,Secondary,Private,15,194,Kitimbwa
664,2020,Primary,Private,55,199,Galiraya
665,2019,Secondary,Government,19,500,Kayunga Town Council
666,2018,Secondary,Government,36,65,Kayunga Town Council
667,2019,Secondary,Government,40,167,Galiraya
668,2019,Secondary,Private,9,20,Bbaale
669,2021,Primary,Private,13,378,Kayunga Town Council
670,2021,Secondary,Private,20,300,Kayonza
671,2021,Primary,Private,8,102,Kayonza
672,2021,Secondary,Private,41,378,Bbaale
673,2022,Primary,Government,5,178,Kayunga Town Council
674,2018,Primary,Government,12,167,Kayonza
675,2021,Secondary,Private,30,345,Galiraya
676,2019,Primary,Private,8,197,Kayunga
677,2018,Secondary,Government,20,456,Kitimbwa
678,2020,Secondary,Government,19,25,Busaana
679,2022,Secondary,Private,9,40,Kitimbwa
680,2022,Secondary,Government,21,65,Kitimbwa
681,2022,Primary,Private,5,200,Busaana
682,2020,Primary,Government,8,300,Kitimbwa
683,2018,Secondary,Private,20,30,Kayonza
684,2019,Secondary,Private,38,456,Kayunga
685,2022,Secondary,Government,19,105,Bbaale
686,2021,Primary,Private,5,120,Kitimbwa
687,2018,Secondary,Government,55,75,Kayunga
688,2021,Secondary,Private,10,80,Bbaale
689,2020,Primary,Private,5,75,Kayunga
690,2022,Primary,Private,13,50,Kitimbwa
691,2019,Primary,Private,18,167,Bbaale
692,2020,Secondary,Government,55,60,Bbaale
693,2020,Secondary,Government,12,180,Kitimbwa
694,2019,Primary,Government,34,45,Kayunga
695,2018,Primary,Private,12,378,Bbaale
696,2018,Secondary,Government,33,100,Kayunga
697,2020,Secondary,Private,12,180,Busaana
698,2022,Primary,Private,9,240,Galiraya
699,2018,Secondary,Government,36,197,Kayonza
700,2021,Secondary,Government,21,260,Kayunga
701,2021,Primary,Private,20,500,Bbaale
702,2021,Secondary,Private,19,500,Kayunga Town Council
703,2018,Secondary,Private,8,213,Busaana
704,2019,Primary,Government,33,95,Kayonza
705,2018,Secondary,Private,43,180,Galiraya
706,2018,Secondary,Private,43,500,Galiraya
707,2021,Secondary,Government,50,110,Busaana
708,2022,Primary,Private,33,55,Kayunga Town Council
709,2021,Secondary,Government,10,213,Kayunga Town Council
710,2021,Primary,Private,9,80,Busaana
711,2018,Secondary,Private,12,60,Bbaale
712,2018,Secondary,Private,43,120,Kayunga Town Council
713,2022,Primary,Government,9,10,Bbaale
714,2020,Primary,Private,10,400,Kayunga Town Council
715,2022,Secondary,Private,10,90,Galiraya
716,2021,Secondary,Private,21,120,Kayunga Town Council
717,2020,Secondary,Private,19,120,Kayonza
718,2021,Secondary,Private,9,30,Kayunga
719,2018,Secondary,Private,30,278,Busaana
720,2022,Primary,Private,5,195,Kayunga Town Council
721,2022,Primary,Government,41,70,Kayonza
722,2018,Secondary,Government,5,120,Kayonza
723,2018,Primary,Private,20,199,Busaana
724,2019,Primary,Private,19,203,Kayonza
725,2020,Secondary,Private,20,278,Bbaale
726,2018,Secondary,Government,12,180,Busaana
727,2020,Primary,Government,50,197,Kayonza
728,2019,Secondary,Government,30,90,Bbaale
729,2020,Primary,Government,21,213,Galiraya
730,2022,Secondary,Private,34,456,Kitimbwa
731,2021,Secondary,Government,20,200,Galiraya
732,2018,Primary,Private,33,45,Kayunga Town Council
733,2019,Primary,Government,33,90,Bbaale
734,2020,Secondary,Private,33,65,Galiraya
735,2019,Primary,Government,9,10,Kayunga Town Council
736,2022,Primary,Government,40,110,Busaana
737,2019,Secondary,Private,12,200,Bbaale
738,2020,Secondary,Government,15,300,Kitimbwa
739,2018,Primary,Private,55,278,Bbaale
740,2021,Primary,Private,33,200,Bbaale
741,2019,Secondary,Government,20,197,Kayunga
742,2022,Secondary,Private,50,240,Kayunga Town Council
743,2022,Primary,Private,30,65,Kitimbwa
744,2020,Secondary,Government,41,70,Kayunga Town Council
745,2018,Secondary,Government,55,110,Bbaale
746,2021,Secondary,Government,38,150,Kitimbwa
747,2022,Primary,Private,9,20,Bbaale
748,2022,Secondary,Private,55,456,Kayunga Town Council
749,2018,Secondary,Government,11,85,Bbaale
750,2022,Primary,Government,8,110,Kayunga
751,2020,Secondary,Government,8,180,Kayunga Town Council
752,2019,Secondary,Government,41,345,Kitimbwa
753,2020,Primary,Private,11,70,Bbaale
754,2019,Secondary,Government,2,55,Kayunga
755,2018,Secondary,Government,9,10,Bbaale
756,2022,Primary,Government,43,178,Busaana
757,2020,Primary,Government,9,20,Kayunga
758,2020,Primary,Government,15,456,Kayunga Town Council
759,2019,Secondary,Private,36,250,Kitimbwa
760,2022,Secondary,Government,30,110,Kitimbwa
761,2019,Secondary,Private,10,203,Kayunga Town Council
762,2022,Secondary,Government,2,30,Kitimbwa
763,2022,Secondary,Government,36,150,Kayunga Town Council
764,2018,Primary,Government,38,85,Kitimbwa
765,2022,Primary,Government,11,40,Busaana
766,2022,Secondary,Private,19,400,Busaana
767,2019,Secondary,Government,2,213,Bbaale
768,2019,Secondary,Private,40,240,Kayonza
769,2022,Secondary,Private,15,90,Galiraya
770,2018,Primary,Government,5,60,Busaana
771,2020,Secondary,Private,9,40,Kayunga Town Council
772,2018,Secondary,Private,38,195,Bbaale
773,2020,Secondary,Private,55,199,Kayunga
774,2020,Primary,Government,8,300,Kayunga
775,2022,Primary,Private,8,55,Galiraya
776,2019,Primary,Government,36,378,Kayunga Town Council
777,2018,Secondary,Private,33,90,Kayunga Town Council
778,2019,Secondary,Private,13,65,Kitimbwa
779,2020,Primary,Private,21,55,Bbaale
780,2019,Primary,Private,12,194,Kitimbwa
781,2020,Primary,Government,12,203,Bbaale
782,2019,Primary,Private,21,260,Galiraya
783,2019,Primary,Government,9,10,Kayonza
784,2018,Primary,Government,30,200,Kayonza
785,2019,Secondary,Private,21,167,Kayunga
786,2020,Secondary,Private,50,102,Kayonza
787,2021,Primary,Government,13,110,Galiraya
788,2020,Primary,Government,5,20,Kitimbwa
789,2019,Secondary,Private,5,120,Galiraya
790,2021,Secondary,Private,21,35,Busaana
791,2020,Primary,Government,9,10,Galiraya
792,2018,Secondary,Government,9,110,Busaana
793,2021,Primary,Private,38,102,Kayonza
794,2022,Secondary,Government,30,400,Kitimbwa
795,2020,Primary,Private,11,110,Kayunga
796,2019,Primary,Private,20,85,Galiraya
797,2019,Primary,Government,12,400,Kayunga Town Council
798,2021,Secondary,Private,13,45,Busaana
799,2021,Secondary,Government,19,80,Kayunga Town Council
800,2018,Primary,Government,19,30,Kayunga
801,2019,Primary,Private,9,40,Kayunga Town Council
802,2020,Secondary,Private,11,167,Kayonza
803,2019,Primary,Government,21,40,Galiraya
804,2020,Primary,Government,13,178,Kayunga Town Council
805,2021,Primary,Private,55,213,Busaana
806,2019,Secondary,Government,38,197,Kitimbwa
807,2019,Primary,Private,30,70,Galiraya
808,2021,Secondary,Government,9,30,Kitimbwa
809,2019,Secondary,Private,36,150,Kayonza
810,2018,Secondary,Private,30,203,Bbaale
811,2018,Primary,Government,55,90,Kayonza
812,2021,Primary,Government,9,500,Galiraya
813,2019,Secondary,Government,21,278,Bbaale
814,2022,Secondary,Government,19,90,Kitimbwa
815,2022,Primary,Government,50,195,Kayunga Town Council
816,2019,Primary,Government,15,150,Kitimbwa
817,2021,Secondary,Private,9,250,Kitimbwa
818,2020,Primary,Government,5,70,Kayunga Town Council
819,2021,Primary,Government,20,35,Kayunga
820,2020,Secondary,Government,33,300,Galiraya
821,2019,Primary,Private,41,250,Bbaale
822,2021,Secondary,Private,5,50,Busaana
823,2020,Primary,Private,5,65,Kayonza
824,2019,Primary,Government,38,194,Busaana
825,2022,Secondary,Private,2,65,Busaana
826,2019,Primary,Government,11,213,Busaana
827,2020,Primary,Private,36,378,Bbaale
828,2018,Primary,Government,18,100,Kitimbwa
829,2021,Secondary,Government,33,95,Kayunga
830,2021,Primary,Government,34,199,Kayunga Town Council
831,2022,Secondary,Private,19,213,Galiraya
832,2021,Secondary,Government,9,200,Galiraya
833,2022,Primary,Government,5,278,Kitimbwa
834,2022,Primary,Private,12,90,Kayunga Town Council
835,2018,Secondary,Private,33,120,Bbaale
836,2022,Primary,Private,15,90,Busaana
837,2021,Primary,Government,9,55,Kitimbwa
838,2022,Secondary,Government,40,178,Kayunga Town Council
839,2022,Secondary,Government,15,400,Bbaale
840,2021,Primary,Private,13,150,Kayunga
841,2019,Secondary,Private,21,456,Bbaale
842,2019,Primary,Private,21,400,Busaana
843,2019,Primary,Private,5,213,Galiraya
844,2019,Secondary,Private,36,40,Kayunga Town Council
845,2020,Primary,Private,9,35,Galiraya
846,2019,Secondary,Government,21,400,Busaana
847,2020,Secondary,Private,9,10,Galiraya
848,2019,Primary,Private,9,30,Bbaale
849,2019,Secondary,Government,55,194,Bbaale
850,2022,Secondary,Private,5,85,Galiraya
851,2021,Primary,Government,38,120,Busaana
852,2021,Primary,Government,30,85,Busaana
853,2018,Secondary,Private,20,65,Busaana
854,2019,Primary,Private,43,65,Kitimbwa
855,2020,Primary,Government,11,345,Galiraya
856,2019,Primary,Private,41,102,Busaana
857,2020,Secondary,Private,9,102,Kitimbwa
858,2018,Secondary,Private,8,250,Kayunga Town Council
859,2020,Secondary,Government,10,50,Kayonza
860,2018,Primary,Government,10,400,Kayunga
861,2019,Secondary,Government,9,456,Galiraya
862,2021,Primary,Private,13,120,Bbaale
863,2022,Secondary,Private,12,110,Kayunga Town Council
864,2019,Secondary,Private,10,120,Kitimbwa
865,2018,Primary,Private,40,45,Kayunga
866,2018,Secondary,Government,5,345,Kayunga Town Council
867,2019,Secondary,Government,10,50,Galiraya
868,2021,Secondary,Private,9,200,Galiraya
869,2022,Primary,Private,8,194,Galiraya
870,2019,Secondary,Government,11,50,Bbaale
871,2021,Primary,Private,38,150,Bbaale
872,2022,Primary,Private,20,65,Kayunga
873,2022,Secondary,Private,34,194,Galiraya
874,2019,Secondary,Private,30,55,Kitimbwa
875,2019,Primary,Government,12,195,Bbaale
876,2020,Secondary,Government,50,120,Kayonza
877,2018,Secondary,Private,21,70,Bbaale
878,2020,Secondary,Government,12,20,Kayunga Town Council
879,2019,Primary,Government,19,40,Galiraya
880,2021,Secondary,Private,43,300,Galiraya
881,2022,Primary,Private,41,213,Kayonza
882,2022,Secondary,Private,43,178,Kayunga Town Council
883,2020,Primary,Private,41,167,Kitimbwa
884,2019,Primary,Government,9,456,Kayunga
885,2018,Secondary,Private,12,65,Busaana
886,2022,Secondary,Private,9,30,Galiraya
887,2018,Primary,Government,50,75,Kayunga Town Council
888,2018,Primary,Private,9,60,Galiraya
889,2022,Secondary,Government,38,105,Kayunga Town Council
890,2018,Primary,Government,19,250,Kitimbwa
891,2022,Secondary,Private,13,25,Kitimbwa
892,2021,Secondary,Private,41,250,Busaana
893,2022,Primary,Private,15,30,Kayunga
894,2021,Secondary,Government,41,95,Kitimbwa
895,2022,Primary,Private,8,195,Kayunga Town Council
896,2018,Primary,Government,10,30,Galiraya
897,2019,Secondary,Private,18,85,Busaana
898,2019,Secondary,Private,5,30,Kayunga Town Council
899,2020,Primary,Government,2,40,Kitimbwa
900,2020,Primary,Private,30,180,Kitimbwa
901,2021,Primary,Government,5,178,Kayonza
902,2021,Secondary,Private,13,197,Kayonza
903,2020,Primary,Private,19,195,Kayunga Town Council
904,2022,Secondary,Government,12,85,Kayunga
905,2020,Primary,Government,15,167,Kitimbwa
906,2019,Secondary,Private,43,45,Kayunga Town Council
907,2019,Primary,Government,20,456,Kayunga
908,2022,Secondary,Private,9,20,Kitimbwa
909,2019,Primary,Government,11,100,Busaana
910,2018,Secondary,Private,19,25,Kitimbwa
911,2019,Primary,Government,5,35,Bbaale
912,2018,Secondary,Private,21,120,Kayunga
913,2018,Primary,Private,41,100,Kayunga
914,2018,Secondary,Private,11,199,Busaana
915,2022,Secondary,Private,50,85,Busaana
916,2022,Primary,Government,9,40,Galiraya
917,2020,Primary,Private,36,300,Galiraya
918,2021,Secondary,Government,43,180,Kayunga Town Council
919,2020,Primary,Private,21,195,Galiraya
920,2020,Primary,Private,43,167,Kayonza
921,2018,Secondary,Government,41,345,Kayunga Town Council
922,2020,Secondary,Government,21,85,Busaana
923,2022,Primary,Government,9,75,Kayunga
924,2018,Secondary,Government,13,50,Kayonza
925,2019,Primary,Private,19,195,Kitimbwa
926,2018,Primary,Government,50,197,Kayunga
927,2021,Primary,Government,21,50,Kayunga Town Council
928,2018,Secondary,Private,40,45,Galiraya
929,2019,Secondary,Government,40,345,Kayonza
930,2019,Secondary,Government,43,278,Galiraya
931,2022,Primary,Private,55,178,Galiraya
932,2022,Primary,Government,38,90,Kayunga
933,2020,Secondary,Private,20,250,Galiraya
934,2020,Primary,Government,9,10,Bbaale
935,2018,Primary,Government,40,200,Kitimbwa
936,2019,Secondary,Private,33,35,Kayonza
937,2018,Secondary,Government,19,102,Kayunga Town Council
938,2020,Primary,Government,18,75,Galiraya
939,2020,Secondary,Private,11,300,Galiraya
940,2019,Secondary,Private,13,240,Galiraya
941,2022,Primary,Private,9,20,Busaana
942,2021,Primary,Private,8,150,Galiraya
943,2021,Primary,Government,8,102,Busaana
944,2018,Primary,Private,55,100,Busaana
945,2018,Secondary,Government,9,20,Kayunga
946,2021,Primary,Private,40,260,Galiraya
947,2018,Primary,Private,21,180,Kayonza
948,2022,Primary,Private,18,260,Galiraya
949,2019,Primary,Government,38,178,Kayonza
950,2021,Primary,Government,55,110,Kitimbwa
951,2020,Primary,Government,21,345,Kitimbwa
952,2018,Secondary,Private,11,260,Kayunga Town Council
953,2019,Primary,Government,8,500,Kayunga
954,2018,Secondary,Private,9,10,Bbaale
955,2021,Primary,Government,8,120,Kitimbwa
956,2020,Primary,Government,19,30,Bbaale
957,2019,Secondary,Government,11,60,Busaana
958,2019,Secondary,Private,40,378,Kitimbwa
959,2020,Primary,Government,38,378,Kayunga Town Council
960,2022,Secondary,Private,12,150,Kayunga Town Council
961,2020,Secondary,Government,9,167,Kayunga Town Council
962,2021,Secondary,Government,36,195,Kayunga Town Council
963,2021,Primary,Government,9,20,Kitimbwa
964,2019,Secondary,Private,30,105,Kitimbwa
965,2022,Secondary,Private,38,105,Kitimbwa
966,2021,Secondary,Private,15,180,Bbaale
967,2020,Secondary,Government,50,110,Kayunga Town Council
968,2021,Primary,Private,12,180,Kayunga
969,2019,Secondary,Private,38,60,Kayunga
970,2022,Secondary,Government,9,20,Kitimbwa
971,2019,Primary,Private,41,213,Kitimbwa
972,2018,Primary,Private,9,50,Busaana
973,2022,Primary,Private,12,194,Kitimbwa
974,2022,Secondary,Private,2,90,Kayunga Town Council
975,2020,Primary,Private,18,60,Kayunga
976,2018,Secondary,Private,38,180,Galiraya
977,2021,Primary,Private,36,65,Kayunga
978,2019,Primary,Private,30,378,Kayonza
979,2021,Secondary,Government,38,300,Kayunga Town Council
980,2018,Primary,Government,8,30,Galiraya
981,2021,Primary,Government,8,30,Busaana
982,2020,Secondary,Private,9,30,Kitimbwa
983,2020,Primary,Private,9,195,Busaana
984,2020,Primary,Government,43,75,Busaana
985,2022,Secondary,Government,9,300,Kayonza
986,2021,Secondary,Government,41,260,Kayonza
987,2021,Primary,Government,19,278,Kayunga Town Council
988,2022,Secondary,Private,38,378,Kitimbwa
989,2022,Primary,Private,30,75,Kayunga Town Council
990,2022,Secondary,Government,19,45,Kayonza
991,2020,Primary,Government,10,378,Kayunga Town Council
992,2019,Primary,Private,13,40,Busaana
993,2020,Secondary,Private,18,378,Kitimbwa
994,2020,Primary,Private,2,10,Kayunga
995,2019,Primary,Government,43,178,Kayonza
996,2018,Primary,Private,9,30,Galiraya
997,2019,Secondary,Government,36,65,Galiraya
998,2021,Primary,Private,9,456,Kayunga Town Council
999,2022,Primary,Private,34,50,Bbaale
