,year,level,type,classroom_capacity,pupil_value,subcounty
595,2020,Primary,Government,39,70,Kayunga
596,2021,Secondary,Private,70,70,Kayunga Town Council
597,2022,Primary,Government,20,120,Busaana
598,2018,Primary,Private,90,150,Bbaale
599,2022,Primary,Private,20,85,Busaana
600,2020,Primary,Private,50,500,Bbaale
601,2019,Primary,Government,31,345,Kangulumira
602,2022,Secondary,Private,20,300,Busaana
603,2019,Primary,Government,26,35,Busaana
604,2019,Primary,Private,50,278,Kitimbwa
605,2018,Primary,Private,70,240,Kitimbwa
606,2022,Secondary,Government,46,50,Kangulumira
607,2019,Primary,Private,40,30,Busaana
608,2022,Secondary,Government,10,150,Bbaale
609,2020,Secondary,Government,13,400,Kayunga
610,2021,Secondary,Private,90,35,Kayunga Town Council
611,2022,Primary,Private,30,378,Busaana
612,2020,Primary,Private,30,200,Bbaale
613,2018,Primary,Government,28,10,Kitimbwa
614,2019,Primary,Government,37,278,Kayunga
615,2020,Secondary,Private,100,55,Galiraya
616,2022,Primary,Private,60,55,Kangulumira
617,2019,Secondary,Private,80,213,Kayunga Town Council
618,2021,Secondary,Private,40,378,Kayunga Town Council
619,2018,Primary,Private,40,150,Kitimbwa
620,2021,Primary,Private,70,70,Kayunga
621,2022,Primary,Government,23,240,Kayunga Town Council
622,2020,Primary,Government,15,400,Kitimbwa
623,2021,Primary,Private,70,250,Kitimbwa
624,2021,Primary,Government,11,178,Kayunga
625,2022,Primary,Private,30,70,Kayunga
626,2018,Secondary,Private,30,10,Kayunga
627,2019,Primary,Private,80,500,Kitimbwa
628,2021,Primary,Private,40,100,Kayunga
629,2022,Primary,Private,70,178,Galiraya
630,2021,Secondary,Government,23,50,Bbaale
631,2021,Secondary,Government,23,300,Galiraya
632,2019,Secondary,Private,60,500,Galiraya
633,2021,Primary,Government,43,45,Kayunga
634,2018,Secondary,Government,17,85,Kayunga
635,2020,Primary,Government,44,194,Busaana
636,2019,Secondary,Government,46,197,Busaana
637,2021,Primary,Government,45,45,Kitimbwa
638,2022,Secondary,Private,30,102,Galiraya
639,2022,Primary,Government,27,102,Kitimbwa
640,2022,Secondary,Private,60,199,Kitimbwa
641,2021,Secondary,Private,70,378,Galiraya
642,2020,Primary,Government,30,197,Kitimbwa
643,2018,Secondary,Private,20,240,Busaana
644,2022,Secondary,Private,50,45,Bbaale
645,2021,Secondary,Private,60,240,Kangulumira
646,2022,Primary,Private,70,35,Bbaale
647,2021,Primary,Government,30,70,Kayunga Town Council
648,2020,Secondary,Government,20,50,Galiraya
649,2020,Secondary,Government,21,203,Galiraya
650,2018,Secondary,Private,80,110,Kangulumira
651,2022,Primary,Government,42,260,Bbaale
652,2019,Secondary,Government,13,300,Busaana
653,2022,Secondary,Private,60,30,Galiraya
654,2021,Secondary,Government,11,45,Kitimbwa
655,2021,Secondary,Private,60,199,Busaana
656,2020,Secondary,Government,41,250,Kayunga
657,2018,Secondary,Government,13,100,Kayunga
658,2019,Secondary,Private,100,95,Bbaale
659,2020,Primary,Private,60,203,Kayunga
660,2020,Primary,Private,90,25,Bbaale
661,2022,Secondary,Private,60,50,Busaana
662,2019,Secondary,Government,49,25,Kayunga
663,2021,Primary,Government,14,100,Kangulumira
664,2018,Secondary,Private,60,456,Busaana
665,2022,Secondary,Government,36,80,Kangulumira
666,2019,Primary,Government,19,345,Busaana
667,2019,Primary,Government,26,250,Busaana
668,2022,Secondary,Government,40,150,Busaana
669,2018,Secondary,Private,90,80,Kayunga
670,2022,Secondary,Private,30,200,Kayunga
671,2018,Primary,Private,80,50,Kangulumira
672,2019,Primary,Private,50,40,Galiraya
673,2018,Secondary,Government,10,105,Busaana
674,2019,Primary,Private,60,35,Kitimbwa
675,2018,Primary,Private,40,55,Busaana
676,2019,Primary,Government,48,25,Bbaale
677,2018,Primary,Private,80,40,Galiraya
678,2021,Secondary,Private,60,70,Kayunga Town Council
679,2019,Secondary,Government,30,75,Busaana
680,2022,Primary,Government,23,378,Kayunga Town Council
681,2022,Secondary,Government,18,195,Kangulumira
682,2019,Primary,Private,90,178,Kayunga Town Council
683,2021,Primary,Private,50,345,Busaana
684,2021,Primary,Private,20,40,Kitimbwa
685,2020,Primary,Government,45,110,Kayunga Town Council
686,2020,Secondary,Private,100,250,Bbaale
687,2019,Secondary,Government,18,345,Kayunga
688,2020,Primary,Government,17,456,Busaana
689,2019,Primary,Government,47,260,Kayunga Town Council
690,2022,Primary,Government,30,200,Kayunga
691,2018,Primary,Private,30,100,Busaana
692,2019,Secondary,Government,47,195,Kangulumira
693,2020,Secondary,Private,50,250,Kitimbwa
694,2020,Primary,Government,49,70,Kayunga
695,2019,Secondary,Government,43,203,Kayunga
696,2021,Primary,Private,70,80,Kayunga
697,2019,Primary,Government,28,80,Kangulumira
698,2022,Primary,Private,90,178,Bbaale
699,2018,Primary,Private,40,50,Bbaale
700,2019,Primary,Government,16,378,Kayunga
701,2022,Secondary,Government,33,400,Bbaale
702,2021,Primary,Private,20,100,Kayunga
703,2021,Primary,Private,90,80,Busaana
704,2020,Primary,Private,90,100,Kitimbwa
705,2022,Primary,Private,80,40,Bbaale
706,2019,Primary,Private,80,70,Bbaale
707,2018,Primary,Private,80,197,Bbaale
708,2018,Secondary,Government,27,120,Kayunga
709,2019,Secondary,Government,33,200,Kayunga
710,2022,Secondary,Government,10,60,Kayunga
711,2018,Primary,Government,23,25,Bbaale
712,2022,Primary,Government,12,100,Kangulumira
713,2022,Secondary,Government,45,167,Kitimbwa
714,2018,Secondary,Private,70,20,Galiraya
715,2019,Primary,Private,50,30,Galiraya
716,2021,Primary,Government,41,195,Kayunga
717,2019,Primary,Government,21,25,Kayunga
718,2020,Primary,Private,80,90,Kitimbwa
719,2022,Secondary,Private,100,25,Busaana
720,2021,Secondary,Private,100,240,Kitimbwa
721,2022,Secondary,Private,40,199,Kitimbwa
722,2021,Primary,Government,14,40,Kayunga Town Council
723,2022,Secondary,Private,50,278,Kitimbwa
724,2018,Secondary,Private,50,278,Busaana
725,2021,Primary,Private,60,500,Kitimbwa
726,2021,Primary,Private,30,105,Kangulumira
727,2020,Secondary,Government,33,345,Busaana
728,2019,Secondary,Private,40,105,Kitimbwa
729,2018,Primary,Government,17,80,Busaana
730,2020,Secondary,Private,50,167,Kayunga
731,2022,Primary,Private,80,120,Kangulumira
732,2018,Secondary,Private,50,378,Busaana
733,2022,Primary,Government,40,200,Bbaale
734,2020,Secondary,Private,80,150,Kayunga
735,2021,Secondary,Government,46,120,Kangulumira
736,2021,Primary,Private,80,80,Galiraya
737,2022,Primary,Government,20,65,Kayunga
738,2021,Secondary,Private,50,456,Kangulumira
739,2020,Primary,Private,40,35,Kayunga Town Council
740,2018,Secondary,Private,60,345,Galiraya
741,2018,Primary,Government,34,25,Kayunga Town Council
742,2021,Secondary,Private,100,102,Kayunga
743,2020,Secondary,Government,33,20,Kayunga
744,2020,Primary,Private,50,250,Busaana
745,2022,Primary,Private,50,70,Kangulumira
746,2020,Primary,Private,60,85,Busaana
747,2019,Secondary,Government,26,90,Bbaale
748,2022,Secondary,Private,40,95,Busaana
749,2021,Secondary,Private,80,102,Busaana
750,2018,Secondary,Government,29,199,Bbaale
751,2021,Secondary,Government,46,240,Galiraya
752,2018,Secondary,Private,80,456,Busaana
753,2018,Primary,Private,100,213,Kitimbwa
754,2020,Primary,Private,80,45,Kangulumira
755,2022,Secondary,Government,18,20,Bbaale
756,2018,Secondary,Government,47,203,Kayunga
757,2019,Primary,Government,10,90,Kangulumira
758,2020,Secondary,Private,60,105,Kayunga Town Council
759,2020,Secondary,Government,45,178,Kangulumira
760,2022,Primary,Government,41,30,Kitimbwa
761,2020,Secondary,Government,20,240,Kayunga Town Council
762,2020,Secondary,Private,40,75,Kangulumira
763,2022,Secondary,Government,31,95,Kayunga Town Council
764,2020,Primary,Government,47,250,Kitimbwa
765,2021,Primary,Private,50,50,Kitimbwa
766,2019,Secondary,Private,90,105,Bbaale
767,2020,Secondary,Private,30,55,Busaana
768,2018,Secondary,Government,49,100,Galiraya
769,2019,Secondary,Government,47,213,Kayunga Town Council
770,2018,Secondary,Government,22,65,Galiraya
771,2021,Primary,Private,40,500,Galiraya
772,2022,Secondary,Government,37,250,Busaana
773,2022,Primary,Government,22,378,Busaana
774,2019,Secondary,Government,26,456,Kayunga
775,2020,Secondary,Government,46,150,Busaana
776,2019,Secondary,Government,22,110,Busaana
777,2018,Primary,Government,28,456,Kayunga
778,2021,Secondary,Government,22,95,Busaana
779,2020,Secondary,Private,50,378,Kayunga
780,2022,Primary,Government,39,195,Bbaale
781,2021,Secondary,Private,80,75,Kayunga
782,2022,Primary,Government,35,200,Kayunga Town Council
783,2020,Primary,Government,27,150,Kangulumira
784,2022,Secondary,Government,43,194,Kangulumira
785,2020,Primary,Private,90,300,Bbaale
786,2022,Primary,Private,50,378,Kayunga
787,2018,Secondary,Private,40,345,Galiraya
788,2021,Secondary,Government,41,80,Kangulumira
789,2018,Secondary,Government,11,80,Kayunga Town Council
790,2018,Primary,Private,20,20,Busaana
791,2019,Primary,Government,32,102,Kayunga
792,2022,Primary,Government,31,50,Galiraya
793,2018,Secondary,Private,60,240,Kayunga Town Council
794,2022,Primary,Government,38,10,Kayunga Town Council
795,2021,Secondary,Government,45,105,Kayunga
796,2021,Secondary,Government,35,102,Kangulumira
797,2018,Secondary,Private,20,95,Kangulumira
798,2020,Secondary,Government,48,35,Bbaale
799,2018,Primary,Government,47,110,Busaana
800,2021,Primary,Private,80,199,Busaana
801,2019,Primary,Private,30,30,Kayunga
802,2022,Primary,Government,34,120,Galiraya
803,2022,Secondary,Government,35,70,Kitimbwa
804,2019,Primary,Government,12,20,Kitimbwa
805,2020,Secondary,Private,20,260,Kayunga Town Council
806,2022,Secondary,Private,90,378,Kayunga
807,2022,Secondary,Private,30,167,Kitimbwa
808,2020,Secondary,Private,30,194,Kitimbwa
809,2022,Secondary,Government,32,80,Kayunga
810,2020,Secondary,Private,100,178,Kangulumira
811,2022,Primary,Government,45,60,Kayunga Town Council
812,2021,Secondary,Government,17,378,Kayunga
813,2022,Secondary,Private,90,60,Kangulumira
814,2021,Primary,Private,100,20,Kayunga Town Council
815,2019,Secondary,Government,46,378,Bbaale
816,2018,Secondary,Government,38,65,Kayunga Town Council
817,2018,Primary,Government,21,200,Busaana
818,2018,Primary,Private,60,120,Kayunga
819,2019,Secondary,Government,24,105,Kayunga Town Council
820,2021,Primary,Private,70,199,Busaana
821,2020,Secondary,Government,17,40,Kayunga Town Council
822,2020,Secondary,Private,90,65,Kayunga
823,2019,Secondary,Government,42,10,Bbaale
824,2019,Primary,Private,30,194,Busaana
825,2021,Secondary,Government,42,194,Kayunga Town Council
826,2019,Primary,Government,30,345,Kangulumira
827,2019,Secondary,Private,80,300,Galiraya
828,2019,Primary,Government,19,345,Kayunga
829,2019,Primary,Private,80,500,Bbaale
830,2019,Primary,Private,70,35,Kitimbwa
831,2020,Secondary,Private,30,194,Busaana
832,2022,Secondary,Private,60,120,Bbaale
833,2019,Secondary,Private,70,178,Galiraya
834,2021,Secondary,Government,42,150,Kitimbwa
835,2021,Primary,Private,30,194,Bbaale
836,2018,Primary,Private,30,500,Busaana
837,2022,Primary,Government,48,50,Busaana
838,2019,Secondary,Government,26,260,Galiraya
839,2019,Secondary,Government,16,55,Galiraya
840,2022,Secondary,Government,19,30,Bbaale
841,2019,Primary,Government,20,105,Kangulumira
842,2018,Secondary,Government,26,197,Kangulumira
843,2021,Secondary,Private,50,278,Kangulumira
844,2022,Primary,Private,60,400,Galiraya
845,2019,Secondary,Private,60,197,Kayunga Town Council
846,2020,Secondary,Private,30,45,Kitimbwa
847,2022,Secondary,Government,24,180,Kayunga Town Council
848,2020,Secondary,Private,90,100,Busaana
849,2018,Primary,Private,20,345,Kitimbwa
850,2022,Secondary,Private,70,60,Bbaale
851,2019,Secondary,Private,70,40,Kitimbwa
852,2021,Secondary,Government,23,180,Bbaale
853,2018,Secondary,Private,100,378,Galiraya
854,2022,Secondary,Government,21,70,Kitimbwa
855,2021,Primary,Private,100,194,Kayunga Town Council
856,2019,Primary,Government,20,199,Galiraya
857,2021,Primary,Government,10,378,Kitimbwa
858,2020,Secondary,Government,16,80,Kayunga
859,2022,Secondary,Private,20,213,Kayunga
860,2018,Secondary,Private,30,85,Busaana
861,2020,Secondary,Government,12,30,Busaana
862,2019,Secondary,Government,38,300,Kangulumira
863,2021,Primary,Private,40,260,Kayunga Town Council
864,2022,Secondary,Government,37,260,Busaana
865,2021,Secondary,Government,11,213,Bbaale
866,2018,Secondary,Government,20,55,Kayunga Town Council
867,2021,Secondary,Government,30,213,Kangulumira
868,2022,Secondary,Government,39,203,Kitimbwa
869,2022,Secondary,Government,46,75,Kayunga Town Council
870,2020,Primary,Private,70,178,Kayunga Town Council
871,2018,Primary,Government,15,197,Bbaale
872,2018,Primary,Private,40,40,Kayunga
873,2018,Secondary,Government,39,90,Kayunga Town Council
874,2019,Secondary,Government,15,110,Kayunga
875,2021,Secondary,Government,37,102,Kayunga
876,2021,Primary,Private,40,180,Kangulumira
877,2022,Primary,Government,23,194,Kitimbwa
878,2020,Secondary,Government,38,85,Busaana
879,2020,Primary,Government,20,197,Bbaale
880,2020,Primary,Government,37,456,Kayunga Town Council
881,2018,Secondary,Private,20,40,Kayunga
882,2022,Secondary,Government,24,60,Bbaale
883,2022,Secondary,Government,38,45,Kangulumira
884,2022,Secondary,Government,33,260,Galiraya
885,2022,Primary,Private,40,110,Galiraya
886,2018,Secondary,Private,80,400,Kayunga
887,2022,Secondary,Government,19,178,Kitimbwa
888,2020,Primary,Private,100,200,Kitimbwa
889,2019,Primary,Private,20,260,Kayunga Town Council
890,2019,Secondary,Government,32,199,Busaana
891,2021,Secondary,Government,13,400,Kangulumira
892,2019,Secondary,Private,90,70,Kitimbwa
893,2022,Primary,Private,70,110,Bbaale
894,2022,Secondary,Government,34,180,Kayunga Town Council
895,2021,Primary,Government,33,65,Bbaale
896,2018,Secondary,Private,60,300,Busaana
897,2021,Primary,Government,12,90,Kayunga Town Council
898,2018,Primary,Private,100,80,Galiraya
899,2019,Primary,Private,20,345,Busaana
900,2022,Secondary,Private,50,35,Kitimbwa
901,2021,Primary,Government,16,197,Kayunga Town Council
902,2018,Primary,Private,20,45,Kitimbwa
903,2022,Secondary,Government,45,105,Kayunga Town Council
904,2019,Primary,Private,100,195,Bbaale
905,2018,Primary,Private,50,25,Galiraya
906,2022,Secondary,Government,27,50,Kayunga Town Council
907,2021,Primary,Private,50,195,Kayunga Town Council
908,2020,Secondary,Government,25,278,Kitimbwa
909,2020,Primary,Private,30,95,Galiraya
910,2019,Primary,Private,60,278,Kayunga
911,2022,Secondary,Government,15,35,Kitimbwa
912,2020,Secondary,Private,100,180,Kayunga
913,2020,Secondary,Private,90,85,Busaana
914,2018,Primary,Private,70,180,Kitimbwa
915,2020,Secondary,Private,70,150,Kayunga
916,2021,Secondary,Government,20,194,Kayunga Town Council
917,2021,Secondary,Private,40,102,Busaana
918,2020,Secondary,Private,40,167,Kayunga
919,2022,Primary,Government,17,75,Busaana
920,2020,Secondary,Government,26,60,Bbaale
921,2018,Secondary,Government,21,85,Busaana
922,2022,Primary,Government,18,197,Kayunga
923,2022,Primary,Private,80,250,Galiraya
924,2020,Primary,Government,13,55,Kitimbwa
925,2018,Secondary,Government,48,194,Bbaale
926,2018,Primary,Private,30,60,Kayunga Town Council
927,2020,Secondary,Private,100,85,Kayunga
928,2018,Primary,Government,38,95,Galiraya
929,2021,Primary,Private,80,110,Kayunga Town Council
930,2021,Primary,Government,16,105,Galiraya
931,2022,Primary,Private,100,500,Kitimbwa
932,2022,Primary,Private,40,150,Kitimbwa
933,2021,Primary,Government,24,195,Kayunga Town Council
934,2020,Secondary,Government,12,400,Bbaale
935,2022,Primary,Government,14,178,Kitimbwa
936,2021,Primary,Private,20,50,Busaana
937,2020,Primary,Private,70,250,Kitimbwa
938,2022,Secondary,Government,32,95,Galiraya
939,2021,Primary,Government,17,345,Kangulumira
940,2020,Primary,Private,50,167,Kangulumira
941,2022,Primary,Private,90,65,Kitimbwa
942,2018,Secondary,Government,34,35,Kayunga Town Council
943,2022,Primary,Government,43,194,Kayunga Town Council
944,2022,Primary,Government,17,120,Kangulumira
945,2019,Secondary,Private,50,300,Kitimbwa
946,2022,Secondary,Private,90,260,Busaana
947,2022,Secondary,Government,34,105,Bbaale
948,2020,Secondary,Private,60,55,Kayunga Town Council
949,2021,Primary,Government,30,300,Bbaale
950,2021,Secondary,Private,100,400,Galiraya
951,2018,Primary,Private,90,150,Kayunga Town Council
952,2019,Primary,Government,14,60,Bbaale
953,2022,Primary,Government,12,345,Galiraya
954,2022,Primary,Government,28,213,Busaana
955,2019,Secondary,Private,100,50,Kitimbwa
956,2022,Primary,Government,14,278,Busaana
957,2022,Secondary,Private,20,200,Galiraya
958,2022,Secondary,Government,44,90,Kayunga
959,2019,Primary,Private,100,120,Kangulumira
960,2020,Primary,Government,31,35,Kitimbwa
961,2021,Primary,Private,20,199,Kayunga Town Council
962,2021,Primary,Private,40,95,Bbaale
963,2021,Primary,Government,21,95,Galiraya
964,2022,Secondary,Government,33,167,Bbaale
965,2021,Primary,Private,90,105,Kayunga Town Council
966,2021,Primary,Government,30,30,Kayunga Town Council
967,2021,Primary,Private,70,35,Kangulumira
968,2018,Primary,Government,43,50,Bbaale
969,2018,Secondary,Private,60,345,Busaana
970,2018,Secondary,Private,30,40,Kayunga
971,2018,Secondary,Government,21,197,Kayunga
972,2020,Secondary,Private,80,75,Kayunga
973,2020,Primary,Government,46,110,Kayunga
974,2022,Primary,Private,30,167,Kayunga
975,2019,Secondary,Government,27,95,Galiraya
976,2018,Primary,Government,35,80,Busaana
977,2019,Primary,Government,11,70,Kayunga Town Council
978,2018,Primary,Private,50,213,Kayunga Town Council
979,2019,Primary,Government,13,195,Kangulumira
980,2018,Secondary,Government,27,213,Busaana
981,2018,Secondary,Government,31,456,Kitimbwa
982,2021,Primary,Government,23,110,Busaana
983,2018,Secondary,Private,70,120,Kangulumira
984,2022,Secondary,Private,20,456,Bbaale
985,2022,Secondary,Government,10,20,Bbaale
986,2022,Primary,Government,31,70,Kayunga
987,2018,Primary,Government,39,199,Kayunga Town Council
988,2020,Secondary,Government,16,250,Galiraya
989,2020,Secondary,Government,13,20,Kitimbwa
990,2018,Secondary,Government,47,110,Busaana
991,2020,Primary,Private,40,194,Kayunga Town Council
992,2020,Secondary,Government,47,10,Busaana
993,2019,Primary,Government,35,30,Galiraya
994,2019,Secondary,Government,19,35,Kayunga
995,2019,Primary,Private,100,250,Bbaale
996,2021,Primary,Government,24,100,Kangulumira
997,2022,Primary,Private,60,300,Kitimbwa
998,2019,Secondary,Government,49,102,Kayunga
999,2021,Secondary,Government,30,200,Kangulumira
1000,2021,Primary,Government,23,110,Nazigo
1001,2018,Secondary,Private,70,120,Nazigo
1002,2022,Secondary,Private,20,456,Nazigo
1003,2022,Secondary,Government,10,20,Nazigo
1004,2022,Primary,Government,31,70,Nazigo
1005,2018,Primary,Government,39,199,Nazigo
1006,2020,Secondary,Government,16,250,Nazigo
1007,2020,Secondary,Government,13,20,Nazigo
1008,2018,Secondary,Government,47,110,Nazigo
1009,2020,Primary,Private,40,194,Nazigo
1010,2020,Secondary,Government,47,10,Nazigo
1011,2019,Primary,Government,35,30,Nazigo
1012,2019,Secondary,Government,19,35,Nazigo
1013,2019,Primary,Private,100,250,Nazigo
1014,2021,Primary,Government,24,100,Nazigo
1015,2022,Primary,Private,60,300,Nazigo
1016,2019,Secondary,Government,49,102,Nazigo
1017,2021,Secondary,Government,30,200,Nazigo
