,year,level,type,value,subcounty
655,2022,Primary,Private,12,Kitimbwa
656,2020,Secondary,Private,15,Kitimbwa
657,2020,Primary,Government,19,Bbaale
658,2022,Primary,Private,43,Galiraya
659,2020,Secondary,Private,34,Kitimbwa
660,2022,Primary,Government,15,Bbaale
661,2022,Secondary,Private,18,Kayonza
662,2022,Secondary,Government,2,Bbaale
663,2021,Secondary,Government,18,Galiraya
664,2020,Secondary,Private,43,Kitimbwa
665,2019,Primary,Government,5,Galiraya
666,2021,Secondary,Private,13,Kitimbwa
667,2019,Secondary,Private,36,Kayunga
668,2021,Primary,Private,13,Kayonza
669,2018,Secondary,Government,18,Kitimbwa
670,2021,Primary,Government,19,Kitimbwa
671,2018,Secondary,Private,36,Bbaale
672,2021,Secondary,Private,5,Kayonza
673,2022,Secondary,Government,36,Galiraya
674,2019,Primary,Private,38,Galiraya
675,2020,Secondary,Private,21,Kayunga Town Council
676,2019,Primary,Government,41,Busaana
677,2022,Primary,Government,15,Kayonza
678,2021,Primary,Government,5,Galiraya
679,2021,Secondary,Government,10,Kayunga
680,2020,Primary,Private,18,Kayonza
681,2022,Primary,Private,5,Bbaale
682,2019,Secondary,Government,18,Kayunga
683,2022,Primary,Private,41,Kayunga Town Council
684,2022,Primary,Private,30,Busaana
685,2019,Primary,Government,41,Kayunga Town Council
686,2022,Secondary,Government,2,Kitimbwa
687,2019,Primary,Private,13,Bbaale
688,2022,Secondary,Government,15,Galiraya
689,2018,Secondary,Private,50,Kitimbwa
690,2020,Secondary,Government,13,Kayonza
691,2022,Primary,Government,13,Kitimbwa
692,2021,Secondary,Government,55,Busaana
693,2020,Secondary,Private,11,Kayonza
694,2020,Secondary,Private,9,Kayunga Town Council
695,2018,Secondary,Government,2,Busaana
696,2018,Primary,Private,18,Kayunga Town Council
697,2018,Secondary,Private,38,Kitimbwa
698,2019,Primary,Private,9,Galiraya
699,2018,Secondary,Private,9,Busaana
700,2021,Secondary,Private,33,Kitimbwa
701,2021,Primary,Government,13,Bbaale
702,2020,Primary,Government,11,Kayunga Town Council
703,2020,Primary,Government,10,Bbaale
704,2022,Secondary,Private,12,Kayonza
705,2021,Secondary,Government,50,Busaana
706,2019,Primary,Private,5,Kayunga Town Council
707,2022,Primary,Private,40,Galiraya
708,2022,Primary,Private,15,Kitimbwa
709,2020,Secondary,Private,2,Kayunga Town Council
710,2020,Secondary,Private,55,Kitimbwa
711,2021,Secondary,Private,36,Busaana
712,2018,Secondary,Private,34,Busaana
713,2021,Secondary,Private,40,Kayunga Town Council
714,2020,Secondary,Private,8,Kayunga
715,2018,Secondary,Government,38,Busaana
716,2020,Primary,Private,15,Kayunga Town Council
717,2022,Primary,Private,8,Busaana
718,2020,Secondary,Private,43,Kayunga
719,2020,Primary,Private,38,Galiraya
720,2022,Secondary,Government,5,Busaana
721,2021,Primary,Government,40,Kayunga Town Council
722,2018,Secondary,Private,55,Kayunga
723,2021,Secondary,Government,50,Kitimbwa
724,2021,Secondary,Government,55,Busaana
725,2020,Secondary,Private,9,Kayonza
726,2020,Secondary,Private,43,Kitimbwa
727,2021,Secondary,Government,12,Busaana
728,2021,Secondary,Government,38,Kayunga
729,2019,Primary,Government,38,Kitimbwa
730,2021,Primary,Private,11,Kayunga Town Council
731,2019,Primary,Government,8,Galiraya
732,2022,Primary,Private,33,Bbaale
733,2020,Primary,Government,11,Bbaale
734,2018,Secondary,Private,8,Kitimbwa
735,2019,Secondary,Government,19,Kayunga
736,2022,Secondary,Government,18,Kayunga
737,2022,Primary,Private,2,Kayonza
738,2022,Secondary,Government,13,Bbaale
739,2022,Secondary,Government,5,Galiraya
740,2022,Primary,Private,41,Kayunga Town Council
741,2018,Primary,Private,9,Galiraya
742,2021,Primary,Private,18,Bbaale
743,2019,Secondary,Private,11,Kayunga
744,2019,Primary,Private,50,Busaana
745,2021,Secondary,Government,8,Kayunga Town Council
746,2018,Primary,Private,40,Kayunga Town Council
747,2019,Secondary,Private,10,Bbaale
748,2022,Secondary,Government,55,Kitimbwa
749,2022,Primary,Government,55,Kayunga Town Council
750,2021,Primary,Government,18,Kayonza
751,2019,Secondary,Government,2,Busaana
752,2022,Secondary,Private,36,Kayunga
753,2019,Primary,Private,9,Kitimbwa
754,2020,Primary,Private,10,Kayunga Town Council
755,2019,Secondary,Private,12,Bbaale
756,2019,Primary,Private,10,Kitimbwa
757,2020,Secondary,Private,19,Kitimbwa
758,2022,Primary,Private,38,Kayunga
759,2022,Secondary,Government,43,Galiraya
760,2020,Secondary,Private,34,Busaana
761,2020,Primary,Private,21,Galiraya
762,2021,Secondary,Private,10,Bbaale
763,2019,Secondary,Government,15,Busaana
764,2020,Primary,Private,20,Galiraya
765,2019,Primary,Private,36,Bbaale
766,2018,Primary,Government,9,Kayunga
767,2021,Secondary,Private,15,Galiraya
768,2018,Secondary,Private,55,Kayonza
769,2018,Primary,Private,33,Kayunga Town Council
770,2020,Primary,Government,10,Bbaale
771,2022,Secondary,Government,50,Kayonza
772,2018,Primary,Government,18,Kayonza
773,2019,Primary,Private,41,Galiraya
774,2019,Secondary,Government,41,Kayunga Town Council
775,2019,Primary,Government,10,Busaana
776,2018,Primary,Government,20,Busaana
777,2018,Secondary,Government,5,Galiraya
778,2022,Primary,Private,19,Busaana
779,2020,Secondary,Government,21,Kayonza
780,2019,Secondary,Government,20,Kayunga
781,2018,Primary,Government,21,Kayunga Town Council
782,2020,Primary,Government,43,Kayunga
783,2019,Secondary,Private,30,Kayunga Town Council
784,2019,Secondary,Private,40,Galiraya
785,2022,Primary,Government,9,Galiraya
786,2018,Secondary,Private,33,Bbaale
787,2020,Secondary,Government,33,Kayunga Town Council
788,2018,Primary,Government,55,Kitimbwa
789,2022,Primary,Private,11,Busaana
790,2020,Primary,Private,41,Busaana
791,2018,Primary,Government,43,Galiraya
792,2022,Secondary,Private,50,Galiraya
793,2021,Primary,Government,30,Galiraya
794,2021,Primary,Private,20,Busaana
795,2019,Secondary,Government,36,Busaana
796,2018,Primary,Government,5,Kayonza
797,2019,Primary,Private,38,Kayunga Town Council
798,2022,Secondary,Government,55,Kitimbwa
799,2021,Primary,Government,41,Kayunga Town Council
800,2021,Secondary,Private,18,Kayonza
801,2020,Primary,Private,50,Kayonza
802,2018,Primary,Private,11,Busaana
803,2019,Primary,Government,13,Bbaale
804,2021,Primary,Private,10,Kayonza
805,2018,Primary,Government,19,Galiraya
806,2021,Primary,Private,36,Kayonza
807,2020,Secondary,Government,5,Bbaale
808,2022,Secondary,Private,50,Galiraya
809,2020,Secondary,Private,18,Bbaale
810,2019,Secondary,Government,12,Galiraya
811,2019,Primary,Government,10,Kitimbwa
812,2021,Primary,Government,43,Bbaale
813,2018,Secondary,Private,50,Busaana
814,2020,Primary,Private,5,Galiraya
815,2021,Secondary,Government,19,Kayonza
816,2021,Primary,Government,20,Bbaale
817,2021,Secondary,Government,10,Bbaale
818,2020,Secondary,Private,34,Kayonza
819,2019,Secondary,Government,19,Kitimbwa
820,2018,Secondary,Private,38,Galiraya
821,2018,Primary,Private,12,Galiraya
822,2020,Secondary,Government,55,Kitimbwa
823,2018,Secondary,Private,40,Kitimbwa
824,2018,Secondary,Private,9,Kayunga
825,2019,Primary,Private,41,Kayunga
826,2019,Primary,Government,30,Kayonza
827,2022,Secondary,Government,43,Kayunga
828,2020,Secondary,Private,50,Busaana
829,2022,Secondary,Government,2,Bbaale
830,2018,Primary,Private,10,Kayonza
831,2021,Secondary,Private,33,Kayunga
832,2021,Secondary,Government,36,Kayonza
833,2022,Primary,Private,10,Busaana
834,2018,Primary,Government,15,Galiraya
835,2019,Primary,Government,13,Galiraya
836,2022,Primary,Government,41,Galiraya
837,2019,Primary,Government,18,Kayunga Town Council
838,2022,Secondary,Private,5,Kayunga
839,2021,Secondary,Private,13,Kayunga Town Council
840,2021,Secondary,Government,41,Busaana
841,2020,Primary,Government,36,Kitimbwa
842,2020,Primary,Private,38,Galiraya
843,2019,Secondary,Government,5,Kayunga
844,2021,Primary,Private,50,Kayonza
845,2021,Secondary,Private,20,Kayunga Town Council
846,2022,Primary,Government,33,Bbaale
847,2021,Primary,Private,50,Bbaale
848,2020,Secondary,Government,8,Bbaale
849,2018,Secondary,Government,12,Busaana
850,2021,Secondary,Private,50,Kayonza
851,2018,Primary,Private,33,Bbaale
852,2020,Secondary,Private,2,Kitimbwa
853,2021,Secondary,Government,18,Kayunga
854,2021,Secondary,Government,38,Kayunga Town Council
855,2021,Secondary,Government,9,Kitimbwa
856,2019,Primary,Government,10,Kayunga Town Council
857,2021,Primary,Private,36,Kayunga
858,2020,Secondary,Government,2,Bbaale
859,2019,Secondary,Private,21,Kayunga Town Council
860,2020,Secondary,Government,8,Bbaale
861,2019,Primary,Government,15,Kitimbwa
862,2021,Secondary,Private,15,Kayonza
863,2022,Secondary,Government,20,Kitimbwa
864,2020,Secondary,Government,18,Bbaale
865,2020,Secondary,Private,55,Busaana
866,2022,Primary,Government,8,Kayonza
867,2021,Primary,Private,8,Galiraya
868,2018,Secondary,Private,38,Galiraya
869,2021,Secondary,Private,21,Galiraya
870,2021,Secondary,Government,30,Kitimbwa
871,2022,Primary,Government,38,Kayunga
872,2020,Primary,Private,34,Kitimbwa
873,2022,Secondary,Government,2,Busaana
874,2020,Secondary,Private,15,Busaana
875,2020,Primary,Government,40,Kayunga Town Council
876,2021,Secondary,Private,50,Kayonza
877,2022,Primary,Private,36,Bbaale
878,2021,Primary,Private,12,Busaana
879,2022,Primary,Government,11,Kayonza
880,2018,Primary,Government,30,Galiraya
881,2019,Secondary,Government,18,Kayonza
882,2019,Primary,Private,50,Kayunga Town Council
883,2019,Secondary,Private,11,Kayunga Town Council
884,2022,Secondary,Government,10,Galiraya
885,2019,Primary,Private,38,Kayonza
886,2021,Primary,Private,34,Galiraya
887,2021,Secondary,Private,10,Bbaale
888,2018,Secondary,Private,43,Kayunga Town Council
889,2018,Primary,Government,11,Busaana
890,2018,Secondary,Private,15,Bbaale
891,2021,Secondary,Government,40,Kayonza
892,2022,Secondary,Private,21,Kayunga Town Council
893,2019,Secondary,Private,40,Bbaale
894,2020,Secondary,Government,50,Galiraya
895,2019,Primary,Government,15,Bbaale
896,2022,Secondary,Private,21,Kayunga
897,2021,Secondary,Government,43,Bbaale
898,2021,Secondary,Government,20,Kayunga Town Council
899,2020,Primary,Private,20,Kayunga
900,2021,Primary,Government,30,Bbaale
901,2022,Primary,Government,30,Bbaale
902,2022,Primary,Government,20,Bbaale
903,2019,Primary,Government,19,Bbaale
904,2020,Primary,Government,19,Galiraya
905,2021,Secondary,Government,12,Bbaale
906,2022,Secondary,Government,50,Galiraya
907,2020,Primary,Government,11,Busaana
908,2021,Primary,Government,10,Kayunga
909,2021,Primary,Private,33,Bbaale
910,2019,Secondary,Government,20,Bbaale
911,2019,Secondary,Government,12,Kayonza
912,2019,Primary,Private,11,Kayunga
913,2020,Secondary,Government,9,Kitimbwa
914,2022,Secondary,Government,21,Galiraya
915,2022,Secondary,Private,11,Bbaale
916,2020,Primary,Private,55,Bbaale
917,2019,Secondary,Government,11,Bbaale
918,2020,Secondary,Private,8,Busaana
919,2019,Secondary,Government,40,Busaana
920,2021,Primary,Government,8,Galiraya
921,2020,Primary,Government,11,Kayunga
922,2019,Secondary,Government,33,Galiraya
923,2022,Secondary,Government,34,Bbaale
924,2018,Secondary,Government,18,Kitimbwa
925,2020,Primary,Private,30,Busaana
926,2020,Secondary,Government,19,Galiraya
927,2022,Secondary,Private,13,Busaana
928,2020,Primary,Private,33,Kayonza
929,2019,Secondary,Government,5,Galiraya
930,2019,Secondary,Private,30,Kitimbwa
931,2022,Primary,Government,5,Kayunga
932,2018,Secondary,Private,18,Kayunga
933,2018,Primary,Private,50,Kayunga
934,2019,Secondary,Government,10,Busaana
935,2018,Secondary,Private,12,Busaana
936,2018,Primary,Government,55,Kayunga
937,2020,Primary,Government,21,Bbaale
938,2018,Secondary,Private,18,Kayonza
939,2020,Primary,Government,18,Bbaale
940,2021,Primary,Government,55,Busaana
941,2020,Secondary,Private,33,Bbaale
942,2019,Primary,Government,18,Busaana
943,2018,Primary,Private,2,Galiraya
944,2021,Secondary,Government,50,Kayunga
945,2018,Secondary,Government,33,Galiraya
946,2020,Primary,Government,18,Busaana
947,2020,Primary,Private,30,Kitimbwa
948,2019,Secondary,Private,21,Galiraya
949,2018,Primary,Government,33,Kayunga
950,2021,Primary,Private,13,Kitimbwa
951,2018,Primary,Private,12,Bbaale
952,2022,Primary,Private,19,Galiraya
953,2021,Primary,Private,8,Kayonza
954,2019,Secondary,Private,21,Kayunga Town Council
955,2019,Primary,Private,18,Kitimbwa
956,2021,Secondary,Private,2,Busaana
957,2019,Primary,Private,34,Bbaale
958,2020,Secondary,Private,20,Kayunga
959,2018,Secondary,Private,41,Galiraya
960,2022,Primary,Private,55,Kitimbwa
961,2022,Secondary,Private,13,Bbaale
962,2020,Primary,Private,38,Kayunga
963,2018,Secondary,Government,15,Busaana
964,2022,Secondary,Government,38,Busaana
965,2022,Secondary,Private,8,Kitimbwa
966,2022,Primary,Government,21,Kayunga Town Council
967,2020,Primary,Government,50,Galiraya
968,2019,Primary,Private,9,Kayunga
969,2019,Secondary,Government,36,Kayonza
970,2018,Primary,Private,10,Kayonza
971,2021,Secondary,Private,40,Kayonza
972,2020,Secondary,Private,13,Kayonza
973,2019,Primary,Government,41,Kayunga
974,2018,Secondary,Private,18,Kayonza
975,2022,Primary,Government,8,Kayonza
976,2022,Secondary,Private,55,Kayunga Town Council
977,2020,Secondary,Government,36,Galiraya
978,2018,Secondary,Private,36,Galiraya
979,2022,Primary,Private,2,Kitimbwa
980,2019,Secondary,Private,8,Kayunga
981,2022,Primary,Private,40,Kayunga Town Council
982,2019,Secondary,Private,55,Busaana
983,2018,Primary,Government,13,Kayunga
984,2022,Secondary,Private,15,Kayunga
985,2020,Primary,Government,21,Kayunga
986,2022,Primary,Government,18,Busaana
987,2020,Secondary,Government,30,Galiraya
988,2019,Secondary,Private,20,Busaana
989,2021,Secondary,Private,19,Bbaale
990,2019,Secondary,Private,11,Kayunga
991,2019,Primary,Government,5,Galiraya
992,2022,Secondary,Government,8,Busaana
993,2018,Primary,Private,41,Busaana
994,2020,Primary,Private,38,Kayonza
995,2019,Primary,Private,41,Kayunga
996,2022,Primary,Government,12,Busaana
997,2021,Secondary,Private,20,Kayunga Town Council
998,2018,Primary,Government,19,Kayunga
999,2018,Secondary,Private,13,Kayonza
