,year,level,type,value,subcounty
650,2021,Secondary,Government,41,Miirya
651,2022,Primary,Government,34,Kimengo
652,2021,Primary,Government,9,Nyangahaya
653,2020,Secondary,Government,50,Masindi Town Council
654,2022,Secondary,Government,34,Masindi Town Council
655,2022,Primary,Private,12,Bwinjanga
656,2020,Secondary,Private,15,Bwinjanga
657,2020,Primary,Government,19,Nyangahaya
658,2022,Primary,Private,43,Masindi Town Council
659,2020,Secondary,Private,34,Bwinjanga
660,2022,Primary,Government,15,Nyangahaya
661,2022,Secondary,Private,18,Karujubu
662,2022,Secondary,Government,2,Nyangahaya
663,2021,Secondary,Government,18,Masindi Town Council
664,2020,Secondary,Private,43,Bwinjanga
665,2019,Primary,Government,5,Masindi Town Council
666,2021,Secondary,Private,13,Bwinjanga
667,2019,Secondary,Private,36,Pakanyi
668,2021,Primary,Private,13,Karujubu
669,2018,Secondary,Government,18,Bwinjanga
670,2021,Primary,Government,19,Bwinjanga
671,2018,Secondary,Private,36,Nyangahaya
672,2021,Secondary,Private,5,Karujubu
673,2022,Secondary,Government,36,Masindi Town Council
674,2019,Primary,Private,38,Masindi Town Council
675,2020,Secondary,Private,21,Kimengo
676,2019,Primary,Government,41,Miirya
677,2022,Primary,Government,15,Karujubu
678,2021,Primary,Government,5,Masindi Town Council
679,2021,Secondary,Government,10,Pakanyi
680,2020,Primary,Private,18,Karujubu
681,2022,Primary,Private,5,Nyangahaya
682,2019,Secondary,Government,18,Pakanyi
683,2022,Primary,Private,41,Kimengo
684,2022,Primary,Private,30,Miirya
685,2019,Primary,Government,41,Kimengo
686,2022,Secondary,Government,2,Bwinjanga
687,2019,Primary,Private,13,Nyangahaya
688,2022,Secondary,Government,15,Masindi Town Council
689,2018,Secondary,Private,50,Bwinjanga
690,2020,Secondary,Government,13,Karujubu
691,2022,Primary,Government,13,Bwinjanga
692,2021,Secondary,Government,55,Miirya
693,2020,Secondary,Private,11,Karujubu
694,2020,Secondary,Private,9,Kimengo
695,2018,Secondary,Government,2,Miirya
696,2018,Primary,Private,18,Kimengo
697,2018,Secondary,Private,38,Bwinjanga
698,2019,Primary,Private,9,Masindi Town Council
699,2018,Secondary,Private,9,Miirya
700,2021,Secondary,Private,33,Bwinjanga
701,2021,Primary,Government,13,Nyangahaya
702,2020,Primary,Government,11,Kimengo
703,2020,Primary,Government,10,Nyangahaya
704,2022,Secondary,Private,12,Karujubu
705,2021,Secondary,Government,50,Miirya
706,2019,Primary,Private,5,Kimengo
707,2022,Primary,Private,40,Masindi Town Council
708,2022,Primary,Private,15,Bwinjanga
709,2020,Secondary,Private,2,Kimengo
710,2020,Secondary,Private,55,Bwinjanga
711,2021,Secondary,Private,36,Miirya
712,2018,Secondary,Private,34,Miirya
713,2021,Secondary,Private,40,Kimengo
714,2020,Secondary,Private,8,Pakanyi
715,2018,Secondary,Government,38,Miirya
716,2020,Primary,Private,15,Kimengo
717,2022,Primary,Private,8,Miirya
718,2020,Secondary,Private,43,Pakanyi
719,2020,Primary,Private,38,Masindi Town Council
720,2022,Secondary,Government,5,Miirya
721,2021,Primary,Government,40,Kimengo
722,2018,Secondary,Private,55,Pakanyi
723,2021,Secondary,Government,50,Bwinjanga
724,2021,Secondary,Government,55,Miirya
725,2020,Secondary,Private,9,Karujubu
726,2020,Secondary,Private,43,Bwinjanga
727,2021,Secondary,Government,12,Miirya
728,2021,Secondary,Government,38,Pakanyi
729,2019,Primary,Government,38,Bwinjanga
730,2021,Primary,Private,11,Kimengo
731,2019,Primary,Government,8,Masindi Town Council
732,2022,Primary,Private,33,Nyangahaya
733,2020,Primary,Government,11,Nyangahaya
734,2018,Secondary,Private,8,Bwinjanga
735,2019,Secondary,Government,19,Pakanyi
736,2022,Secondary,Government,18,Pakanyi
737,2022,Primary,Private,2,Karujubu
738,2022,Secondary,Government,13,Nyangahaya
739,2022,Secondary,Government,5,Masindi Town Council
740,2022,Primary,Private,41,Kimengo
741,2018,Primary,Private,9,Masindi Town Council
742,2021,Primary,Private,18,Nyangahaya
743,2019,Secondary,Private,11,Pakanyi
744,2019,Primary,Private,50,Miirya
745,2021,Secondary,Government,8,Kimengo
746,2018,Primary,Private,40,Kimengo
747,2019,Secondary,Private,10,Nyangahaya
748,2022,Secondary,Government,55,Bwinjanga
749,2022,Primary,Government,55,Kimengo
750,2021,Primary,Government,18,Karujubu
751,2019,Secondary,Government,2,Miirya
752,2022,Secondary,Private,36,Pakanyi
753,2019,Primary,Private,9,Bwinjanga
754,2020,Primary,Private,10,Kimengo
755,2019,Secondary,Private,12,Nyangahaya
756,2019,Primary,Private,10,Bwinjanga
757,2020,Secondary,Private,19,Bwinjanga
758,2022,Primary,Private,38,Pakanyi
759,2022,Secondary,Government,43,Masindi Town Council
760,2020,Secondary,Private,34,Miirya
761,2020,Primary,Private,21,Masindi Town Council
762,2021,Secondary,Private,10,Nyangahaya
763,2019,Secondary,Government,15,Miirya
764,2020,Primary,Private,20,Masindi Town Council
765,2019,Primary,Private,36,Nyangahaya
766,2018,Primary,Government,9,Pakanyi
767,2021,Secondary,Private,15,Masindi Town Council
768,2018,Secondary,Private,55,Karujubu
769,2018,Primary,Private,33,Kimengo
770,2020,Primary,Government,10,Nyangahaya
771,2022,Secondary,Government,50,Karujubu
772,2018,Primary,Government,18,Karujubu
773,2019,Primary,Private,41,Masindi Town Council
774,2019,Secondary,Government,41,Kimengo
775,2019,Primary,Government,10,Miirya
776,2018,Primary,Government,20,Miirya
777,2018,Secondary,Government,5,Masindi Town Council
778,2022,Primary,Private,19,Miirya
779,2020,Secondary,Government,21,Karujubu
780,2019,Secondary,Government,20,Pakanyi
781,2018,Primary,Government,21,Kimengo
782,2020,Primary,Government,43,Pakanyi
783,2019,Secondary,Private,30,Kimengo
784,2019,Secondary,Private,40,Masindi Town Council
785,2022,Primary,Government,9,Masindi Town Council
786,2018,Secondary,Private,33,Nyangahaya
787,2020,Secondary,Government,33,Kimengo
788,2018,Primary,Government,55,Bwinjanga
789,2022,Primary,Private,11,Miirya
790,2020,Primary,Private,41,Miirya
791,2018,Primary,Government,43,Masindi Town Council
792,2022,Secondary,Private,50,Masindi Town Council
793,2021,Primary,Government,30,Masindi Town Council
794,2021,Primary,Private,20,Miirya
795,2019,Secondary,Government,36,Miirya
796,2018,Primary,Government,5,Karujubu
797,2019,Primary,Private,38,Kimengo
798,2022,Secondary,Government,55,Bwinjanga
799,2021,Primary,Government,41,Kimengo
800,2021,Secondary,Private,18,Karujubu
801,2020,Primary,Private,50,Karujubu
802,2018,Primary,Private,11,Miirya
803,2019,Primary,Government,13,Nyangahaya
804,2021,Primary,Private,10,Karujubu
805,2018,Primary,Government,19,Masindi Town Council
806,2021,Primary,Private,36,Karujubu
807,2020,Secondary,Government,5,Nyangahaya
808,2022,Secondary,Private,50,Masindi Town Council
809,2020,Secondary,Private,18,Nyangahaya
810,2019,Secondary,Government,12,Masindi Town Council
811,2019,Primary,Government,10,Bwinjanga
812,2021,Primary,Government,43,Nyangahaya
813,2018,Secondary,Private,50,Miirya
814,2020,Primary,Private,5,Masindi Town Council
815,2021,Secondary,Government,19,Karujubu
816,2021,Primary,Government,20,Nyangahaya
817,2021,Secondary,Government,10,Nyangahaya
818,2020,Secondary,Private,34,Karujubu
819,2019,Secondary,Government,19,Bwinjanga
820,2018,Secondary,Private,38,Masindi Town Council
821,2018,Primary,Private,12,Masindi Town Council
822,2020,Secondary,Government,55,Bwinjanga
823,2018,Secondary,Private,40,Bwinjanga
824,2018,Secondary,Private,9,Pakanyi
825,2019,Primary,Private,41,Pakanyi
826,2019,Primary,Government,30,Karujubu
827,2022,Secondary,Government,43,Pakanyi
828,2020,Secondary,Private,50,Miirya
829,2022,Secondary,Government,2,Nyangahaya
830,2018,Primary,Private,10,Karujubu
831,2021,Secondary,Private,33,Pakanyi
832,2021,Secondary,Government,36,Karujubu
833,2022,Primary,Private,10,Miirya
834,2018,Primary,Government,15,Masindi Town Council
835,2019,Primary,Government,13,Masindi Town Council
836,2022,Primary,Government,41,Masindi Town Council
837,2019,Primary,Government,18,Kimengo
838,2022,Secondary,Private,5,Pakanyi
839,2021,Secondary,Private,13,Kimengo
840,2021,Secondary,Government,41,Miirya
841,2020,Primary,Government,36,Bwinjanga
842,2020,Primary,Private,38,Masindi Town Council
843,2019,Secondary,Government,5,Pakanyi
844,2021,Primary,Private,50,Karujubu
845,2021,Secondary,Private,20,Kimengo
846,2022,Primary,Government,33,Nyangahaya
847,2021,Primary,Private,50,Nyangahaya
848,2020,Secondary,Government,8,Nyangahaya
849,2018,Secondary,Government,12,Miirya
850,2021,Secondary,Private,50,Karujubu
851,2018,Primary,Private,33,Nyangahaya
852,2020,Secondary,Private,2,Bwinjanga
853,2021,Secondary,Government,18,Pakanyi
854,2021,Secondary,Government,38,Kimengo
855,2021,Secondary,Government,9,Bwinjanga
856,2019,Primary,Government,10,Kimengo
857,2021,Primary,Private,36,Pakanyi
858,2020,Secondary,Government,2,Nyangahaya
859,2019,Secondary,Private,21,Kimengo
860,2020,Secondary,Government,8,Nyangahaya
861,2019,Primary,Government,15,Bwinjanga
862,2021,Secondary,Private,15,Karujubu
863,2022,Secondary,Government,20,Bwinjanga
864,2020,Secondary,Government,18,Nyangahaya
865,2020,Secondary,Private,55,Miirya
866,2022,Primary,Government,8,Karujubu
867,2021,Primary,Private,8,Masindi Town Council
868,2018,Secondary,Private,38,Masindi Town Council
869,2021,Secondary,Private,21,Masindi Town Council
870,2021,Secondary,Government,30,Bwinjanga
871,2022,Primary,Government,38,Pakanyi
872,2020,Primary,Private,34,Bwinjanga
873,2022,Secondary,Government,2,Miirya
874,2020,Secondary,Private,15,Miirya
875,2020,Primary,Government,40,Kimengo
876,2021,Secondary,Private,50,Karujubu
877,2022,Primary,Private,36,Nyangahaya
878,2021,Primary,Private,12,Miirya
879,2022,Primary,Government,11,Karujubu
880,2018,Primary,Government,30,Masindi Town Council
881,2019,Secondary,Government,18,Karujubu
882,2019,Primary,Private,50,Kimengo
883,2019,Secondary,Private,11,Kimengo
884,2022,Secondary,Government,10,Masindi Town Council
885,2019,Primary,Private,38,Karujubu
886,2021,Primary,Private,34,Masindi Town Council
887,2021,Secondary,Private,10,Nyangahaya
888,2018,Secondary,Private,43,Kimengo
889,2018,Primary,Government,11,Miirya
890,2018,Secondary,Private,15,Nyangahaya
891,2021,Secondary,Government,40,Karujubu
892,2022,Secondary,Private,21,Kimengo
893,2019,Secondary,Private,40,Nyangahaya
894,2020,Secondary,Government,50,Masindi Town Council
895,2019,Primary,Government,15,Nyangahaya
896,2022,Secondary,Private,21,Pakanyi
897,2021,Secondary,Government,43,Nyangahaya
898,2021,Secondary,Government,20,Kimengo
899,2020,Primary,Private,20,Pakanyi
900,2021,Primary,Government,30,Nyangahaya
901,2022,Primary,Government,30,Nyangahaya
902,2022,Primary,Government,20,Nyangahaya
903,2019,Primary,Government,19,Nyangahaya
904,2020,Primary,Government,19,Masindi Town Council
905,2021,Secondary,Government,12,Nyangahaya
906,2022,Secondary,Government,50,Masindi Town Council
907,2020,Primary,Government,11,Miirya
908,2021,Primary,Government,10,Pakanyi
909,2021,Primary,Private,33,Nyangahaya
910,2019,Secondary,Government,20,Nyangahaya
911,2019,Secondary,Government,12,Karujubu
912,2019,Primary,Private,11,Pakanyi
913,2020,Secondary,Government,9,Bwinjanga
914,2022,Secondary,Government,21,Masindi Town Council
915,2022,Secondary,Private,11,Nyangahaya
916,2020,Primary,Private,55,Nyangahaya
917,2019,Secondary,Government,11,Nyangahaya
918,2020,Secondary,Private,8,Miirya
919,2019,Secondary,Government,40,Miirya
920,2021,Primary,Government,8,Masindi Town Council
921,2020,Primary,Government,11,Pakanyi
922,2019,Secondary,Government,33,Masindi Town Council
923,2022,Secondary,Government,34,Nyangahaya
924,2018,Secondary,Government,18,Bwinjanga
925,2020,Primary,Private,30,Miirya
926,2020,Secondary,Government,19,Masindi Town Council
927,2022,Secondary,Private,13,Miirya
928,2020,Primary,Private,33,Karujubu
929,2019,Secondary,Government,5,Masindi Town Council
930,2019,Secondary,Private,30,Bwinjanga
931,2022,Primary,Government,5,Pakanyi
932,2018,Secondary,Private,18,Pakanyi
933,2018,Primary,Private,50,Pakanyi
934,2019,Secondary,Government,10,Miirya
935,2018,Secondary,Private,12,Miirya
936,2018,Primary,Government,55,Pakanyi
937,2020,Primary,Government,21,Nyangahaya
938,2018,Secondary,Private,18,Karujubu
939,2020,Primary,Government,18,Nyangahaya
940,2021,Primary,Government,55,Miirya
941,2020,Secondary,Private,33,Nyangahaya
942,2019,Primary,Government,18,Miirya
943,2018,Primary,Private,2,Masindi Town Council
944,2021,Secondary,Government,50,Pakanyi
945,2018,Secondary,Government,33,Masindi Town Council
946,2020,Primary,Government,18,Miirya
947,2020,Primary,Private,30,Bwinjanga
948,2019,Secondary,Private,21,Masindi Town Council
949,2018,Primary,Government,33,Pakanyi
950,2021,Primary,Private,13,Bwinjanga
951,2018,Primary,Private,12,Nyangahaya
952,2022,Primary,Private,19,Masindi Town Council
953,2021,Primary,Private,8,Karujubu
954,2019,Secondary,Private,21,Kimengo
955,2019,Primary,Private,18,Bwinjanga
956,2021,Secondary,Private,2,Miirya
957,2019,Primary,Private,34,Nyangahaya
958,2020,Secondary,Private,20,Pakanyi
959,2018,Secondary,Private,41,Masindi Town Council
960,2022,Primary,Private,55,Bwinjanga
961,2022,Secondary,Private,13,Nyangahaya
962,2020,Primary,Private,38,Pakanyi
963,2018,Secondary,Government,15,Miirya
964,2022,Secondary,Government,38,Miirya
965,2022,Secondary,Private,8,Bwinjanga
966,2022,Primary,Government,21,Kimengo
967,2020,Primary,Government,50,Masindi Town Council
968,2019,Primary,Private,9,Pakanyi
969,2019,Secondary,Government,36,Karujubu
970,2018,Primary,Private,10,Karujubu
971,2021,Secondary,Private,40,Karujubu
972,2020,Secondary,Private,13,Karujubu
973,2019,Primary,Government,41,Pakanyi
974,2018,Secondary,Private,18,Karujubu
975,2022,Primary,Government,8,Karujubu
976,2022,Secondary,Private,55,Kimengo
977,2020,Secondary,Government,36,Masindi Town Council
978,2018,Secondary,Private,36,Masindi Town Council
979,2022,Primary,Private,2,Bwinjanga
980,2019,Secondary,Private,8,Pakanyi
981,2022,Primary,Private,40,Kimengo
982,2019,Secondary,Private,55,Miirya
983,2018,Primary,Government,13,Pakanyi
984,2022,Secondary,Private,15,Pakanyi
985,2020,Primary,Government,21,Pakanyi
986,2022,Primary,Government,18,Miirya
987,2020,Secondary,Government,30,Masindi Town Council
988,2019,Secondary,Private,20,Miirya
989,2021,Secondary,Private,19,Nyangahaya
990,2019,Secondary,Private,11,Pakanyi
991,2019,Primary,Government,5,Masindi Town Council
992,2022,Secondary,Government,8,Miirya
993,2018,Primary,Private,41,Miirya
994,2020,Primary,Private,38,Karujubu
995,2019,Primary,Private,41,Pakanyi
996,2022,Primary,Government,12,Miirya
997,2021,Secondary,Private,20,Kimengo
998,2018,Primary,Government,19,Pakanyi
999,2018,Secondary,Private,13,Karujubu
